workload,test_cnt,txn_num,per_key,max_txn_len,gen_time,check_time,n_count,ok_count,avg_abort
mini,50,[3000],20,4,1243243,6715,7525,3004,0.61726
,,,,,,,,,
append,50,[3000],20,2,744301,33763,4398,3005,0.22418
append,50,[3000],20,4,1235879,56708,8823,3005,0.63742
append,50,[3000],20,6,1912751,87116,14618,3008,0.79454
append,50,[3000],20,8,2578968,108981,21036,3002,0.85614
append,50,[3000],20,10,3279394,132313,27736,3005,0.89126
append,50,[3000],20,12,3881972,147888,32079,3010,0.90986
,,,,,,,,,
,,,,,,,,,
wr,50,[3000],20,2,1023682,42769,3952,3046,0.20626
wr,50,[3000],20,4,2360361,91125,15001,3096,0.76338
wr,50,[3000],20,6,3580791,137395,20976,3098,0.8487
wr,50,[3000],20,8,4414235,158052,26502,3098,0.87894
wr,50,[3000],20,10,6164843,173221,28655,3098,0.89628
wr,50,[3000],20,12,7267352,185522,31463,3098,0.90298
