workload,test_cnt,txn_num,per_key,max_txn_len,gen_time,check_time,n_count,ok_count,avg_abort
mini,50,[5000],10,4,5773902,7369,5049,5000,0.00974
,,,,,,,,,
append,50,[5000],10,2,5148135,92999,5057,5000,0.01126
append,50,[5000],10,4,5777378,51899,5043,5000,0.01092
append,50,[5000],10,6,5886908,44314,5059,5000,0.01164
append,50,[5000],10,8,6089457,42093,5060,5000,0.01184
append,50,[5000],10,10,6483920,48283,5063,5000,0.01262
append,50,[5000],10,12,7005926,47556,5065,5000,0.01278
,,,,,,,,,
,,,,,,,,,
wr,50,[5000],10,2,5484376,158790,5060,5001,0.01174
wr,50,[5000],10,4,5812338,92081,5057,5000,0.01086
wr,50,[5000],10,6,6031647,79478,5057,5000,0.01126
wr,50,[5000],10,8,5990908,102842,5059,5001,0.01162
wr,50,[5000],10,10,6088215,98867,5064,5000,0.01258
wr,50,[5000],10,12,6153509,100528,5066,5001,0.01292
