Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 95984ms, Checking Time: 408ms, Bug: Y , N_Count: 3370 , OK_Count: 3327, Abort Rate: 0.013
Round: 2, Time: 86814ms, Checking Time: 6701ms, Bug: Y , N_Count: 4616 , OK_Count: 4573, Abort Rate: 0.009
Round: 3, Time: 100574ms, Checking Time: 585ms, Bug: Y , N_Count: 4001 , OK_Count: 3956, Abort Rate: 0.011
Round: 4, Time: 71881ms, Checking Time: 628ms, Bug: N , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 5, Time: 95038ms, Checking Time: 902ms, Bug: Y , N_Count: 3674 , OK_Count: 3636, Abort Rate: 0.010
Round: 6, Time: 76240ms, Checking Time: 651ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 7, Time: 80663ms, Checking Time: 7071ms, Bug: Y , N_Count: 5033 , OK_Count: 5000, Abort Rate: 0.007
Round: 8, Time: 99564ms, Checking Time: 677ms, Bug: Y , N_Count: 5041 , OK_Count: 5000, Abort Rate: 0.008
Round: 9, Time: 95255ms, Checking Time: 2545ms, Bug: Y , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 10, Time: 100608ms, Checking Time: 6170ms, Bug: Y , N_Count: 3763 , OK_Count: 3718, Abort Rate: 0.012
Round: 11, Time: 94024ms, Checking Time: 703ms, Bug: Y , N_Count: 3970 , OK_Count: 3921, Abort Rate: 0.012
Round: 12, Time: 112591ms, Checking Time: 762ms, Bug: Y , N_Count: 3779 , OK_Count: 3730, Abort Rate: 0.013
Round: 13, Time: 93732ms, Checking Time: 2152ms, Bug: Y , N_Count: 4275 , OK_Count: 4234, Abort Rate: 0.010
Round: 14, Time: 92504ms, Checking Time: 655ms, Bug: Y , N_Count: 4313 , OK_Count: 4255, Abort Rate: 0.013
Round: 15, Time: 81027ms, Checking Time: 591ms, Bug: Y , N_Count: 3627 , OK_Count: 3591, Abort Rate: 0.010
