Run with txn_num: 1000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 10312ms, Checking Time: 352ms, Bug: N , N_Count: 1312 , OK_Count: 1002, Abort Rate: 0.236
Round: 2, Time: 9635ms, Checking Time: 380ms, Bug: Y , N_Count: 1265 , OK_Count: 1003, Abort Rate: 0.207
Round: 3, Time: 11094ms, Checking Time: 342ms, Bug: N , N_Count: 1358 , OK_Count: 1007, Abort Rate: 0.258
Round: 4, Time: 9574ms, Checking Time: 356ms, Bug: N , N_Count: 1268 , OK_Count: 1002, Abort Rate: 0.210
Round: 5, Time: 9814ms, Checking Time: 458ms, Bug: Y , N_Count: 1274 , OK_Count: 1006, Abort Rate: 0.210
Round: 6, Time: 10968ms, Checking Time: 410ms, Bug: Y , N_Count: 1349 , OK_Count: 1004, Abort Rate: 0.256
Round: 7, Time: 9513ms, Checking Time: 367ms, Bug: N , N_Count: 1321 , OK_Count: 1003, Abort Rate: 0.241
Round: 8, Time: 9067ms, Checking Time: 349ms, Bug: N , N_Count: 1289 , OK_Count: 1001, Abort Rate: 0.223
Round: 9, Time: 9581ms, Checking Time: 356ms, Bug: N , N_Count: 1347 , OK_Count: 1007, Abort Rate: 0.252
Round: 10, Time: 9663ms, Checking Time: 359ms, Bug: N , N_Count: 1306 , OK_Count: 1003, Abort Rate: 0.232
Round: 11, Time: 9289ms, Checking Time: 389ms, Bug: N , N_Count: 1283 , OK_Count: 1004, Abort Rate: 0.217
Round: 12, Time: 10105ms, Checking Time: 394ms, Bug: N , N_Count: 1301 , OK_Count: 1002, Abort Rate: 0.230
Round: 13, Time: 9248ms, Checking Time: 327ms, Bug: N , N_Count: 1314 , OK_Count: 1004, Abort Rate: 0.236
Round: 14, Time: 9975ms, Checking Time: 343ms, Bug: N , N_Count: 1337 , OK_Count: 1008, Abort Rate: 0.246
Round: 15, Time: 10185ms, Checking Time: 332ms, Bug: N , N_Count: 1262 , OK_Count: 1002, Abort Rate: 0.206
Round: 16, Time: 11003ms, Checking Time: 420ms, Bug: Y , N_Count: 1315 , OK_Count: 1004, Abort Rate: 0.237
Round: 17, Time: 9961ms, Checking Time: 377ms, Bug: N , N_Count: 1297 , OK_Count: 1003, Abort Rate: 0.227
