Run with txn_num: 1000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 11473ms, Checking Time: 299ms, Bug: N , N_Count: 1024 , OK_Count: 1020, Abort Rate: 0.004
Round: 2, Time: 13948ms, Checking Time: 359ms, Bug: N , N_Count: 1038 , OK_Count: 1024, Abort Rate: 0.013
Round: 3, Time: 12611ms, Checking Time: 335ms, Bug: N , N_Count: 1051 , OK_Count: 1038, Abort Rate: 0.012
Round: 4, Time: 13668ms, Checking Time: 370ms, Bug: N , N_Count: 1033 , OK_Count: 1028, Abort Rate: 0.005
Round: 5, Time: 10202ms, Checking Time: 312ms, Bug: N , N_Count: 1020 , OK_Count: 1008, Abort Rate: 0.012
Round: 6, Time: 9961ms, Checking Time: 433ms, Bug: N , N_Count: 1007 , OK_Count: 1003, Abort Rate: 0.004
Round: 7, Time: 14694ms, Checking Time: 346ms, Bug: N , N_Count: 1031 , OK_Count: 1021, Abort Rate: 0.010
Round: 8, Time: 11829ms, Checking Time: 303ms, Bug: N , N_Count: 1047 , OK_Count: 1037, Abort Rate: 0.010
Round: 9, Time: 11881ms, Checking Time: 319ms, Bug: N , N_Count: 1062 , OK_Count: 1057, Abort Rate: 0.005
Round: 10, Time: 11424ms, Checking Time: 334ms, Bug: N , N_Count: 1042 , OK_Count: 1029, Abort Rate: 0.012
Round: 11, Time: 11437ms, Checking Time: 292ms, Bug: N , N_Count: 1067 , OK_Count: 1052, Abort Rate: 0.014
Round: 12, Time: 11933ms, Checking Time: 344ms, Bug: N , N_Count: 1047 , OK_Count: 1033, Abort Rate: 0.013
Round: 13, Time: 10450ms, Checking Time: 378ms, Bug: Y , N_Count: 1020 , OK_Count: 1012, Abort Rate: 0.008
Round: 14, Time: 11720ms, Checking Time: 320ms, Bug: N , N_Count: 1048 , OK_Count: 1035, Abort Rate: 0.012
Round: 15, Time: 10640ms, Checking Time: 311ms, Bug: N , N_Count: 1019 , OK_Count: 1010, Abort Rate: 0.009
Round: 16, Time: 10617ms, Checking Time: 377ms, Bug: Y , N_Count: 1031 , OK_Count: 1018, Abort Rate: 0.013
Round: 17, Time: 10126ms, Checking Time: 397ms, Bug: N , N_Count: 1027 , OK_Count: 1017, Abort Rate: 0.010
Round: 18, Time: 12063ms, Checking Time: 326ms, Bug: N , N_Count: 1024 , OK_Count: 1014, Abort Rate: 0.010
Round: 19, Time: 10647ms, Checking Time: 306ms, Bug: N , N_Count: 1026 , OK_Count: 1015, Abort Rate: 0.011
Round: 20, Time: 11227ms, Checking Time: 304ms, Bug: N , N_Count: 1042 , OK_Count: 1036, Abort Rate: 0.006
Round: 21, Time: 10859ms, Checking Time: 341ms, Bug: N , N_Count: 1031 , OK_Count: 1024, Abort Rate: 0.007
Round: 22, Time: 10544ms, Checking Time: 331ms, Bug: N , N_Count: 1034 , OK_Count: 1026, Abort Rate: 0.008
Round: 23, Time: 10595ms, Checking Time: 302ms, Bug: N , N_Count: 1032 , OK_Count: 1028, Abort Rate: 0.004
Round: 24, Time: 9749ms, Checking Time: 288ms, Bug: N , N_Count: 1028 , OK_Count: 1018, Abort Rate: 0.010
Round: 25, Time: 11483ms, Checking Time: 318ms, Bug: N , N_Count: 1046 , OK_Count: 1035, Abort Rate: 0.011
Round: 26, Time: 10694ms, Checking Time: 311ms, Bug: N , N_Count: 1025 , OK_Count: 1015, Abort Rate: 0.010
Round: 27, Time: 11687ms, Checking Time: 311ms, Bug: N , N_Count: 1028 , OK_Count: 1024, Abort Rate: 0.004
Round: 28, Time: 13534ms, Checking Time: 370ms, Bug: N , N_Count: 1049 , OK_Count: 1034, Abort Rate: 0.014
Round: 29, Time: 10231ms, Checking Time: 290ms, Bug: N , N_Count: 1016 , OK_Count: 1010, Abort Rate: 0.006
Round: 30, Time: 10536ms, Checking Time: 318ms, Bug: N , N_Count: 1035 , OK_Count: 1028, Abort Rate: 0.007
Round: 31, Time: 10602ms, Checking Time: 324ms, Bug: N , N_Count: 1042 , OK_Count: 1030, Abort Rate: 0.012
Round: 32, Time: 11614ms, Checking Time: 387ms, Bug: Y , N_Count: 1037 , OK_Count: 1029, Abort Rate: 0.008
Round: 33, Time: 10465ms, Checking Time: 557ms, Bug: Y , N_Count: 1017 , OK_Count: 1006, Abort Rate: 0.011
Round: 34, Time: 10263ms, Checking Time: 422ms, Bug: N , N_Count: 1018 , OK_Count: 1009, Abort Rate: 0.009
Round: 35, Time: 10942ms, Checking Time: 290ms, Bug: N , N_Count: 1028 , OK_Count: 1016, Abort Rate: 0.012
Round: 36, Time: 9995ms, Checking Time: 371ms, Bug: N , N_Count: 1018 , OK_Count: 1007, Abort Rate: 0.011
Round: 37, Time: 10423ms, Checking Time: 324ms, Bug: N , N_Count: 1023 , OK_Count: 1016, Abort Rate: 0.007
Round: 38, Time: 11427ms, Checking Time: 325ms, Bug: N , N_Count: 1039 , OK_Count: 1031, Abort Rate: 0.008
Round: 39, Time: 9945ms, Checking Time: 323ms, Bug: N , N_Count: 1025 , OK_Count: 1018, Abort Rate: 0.007
Round: 40, Time: 13664ms, Checking Time: 359ms, Bug: N , N_Count: 1061 , OK_Count: 1046, Abort Rate: 0.014
Round: 41, Time: 10791ms, Checking Time: 310ms, Bug: N , N_Count: 1065 , OK_Count: 1051, Abort Rate: 0.013
Round: 42, Time: 10688ms, Checking Time: 314ms, Bug: N , N_Count: 1027 , OK_Count: 1024, Abort Rate: 0.003
Round: 43, Time: 10912ms, Checking Time: 293ms, Bug: N , N_Count: 1020 , OK_Count: 1010, Abort Rate: 0.010
Round: 44, Time: 12479ms, Checking Time: 273ms, Bug: N , N_Count: 1037 , OK_Count: 1029, Abort Rate: 0.008
Round: 45, Time: 12158ms, Checking Time: 321ms, Bug: N , N_Count: 1042 , OK_Count: 1035, Abort Rate: 0.007
Round: 46, Time: 10754ms, Checking Time: 309ms, Bug: N , N_Count: 1010 , OK_Count: 1008, Abort Rate: 0.002
Round: 47, Time: 11494ms, Checking Time: 350ms, Bug: N , N_Count: 1041 , OK_Count: 1033, Abort Rate: 0.008
Round: 48, Time: 12765ms, Checking Time: 297ms, Bug: N , N_Count: 1033 , OK_Count: 1021, Abort Rate: 0.012
Round: 49, Time: 13816ms, Checking Time: 401ms, Bug: Y , N_Count: 1034 , OK_Count: 1030, Abort Rate: 0.004
Round: 50, Time: 11275ms, Checking Time: 289ms, Bug: N , N_Count: 1027 , OK_Count: 1019, Abort Rate: 0.008
=======================
Total Run Time: 568935ms, Total Checking Time: 16784ms
Bug / Total: 5/50

max_txn_length: 4
=======================
Round: 1, Time: 27101ms, Checking Time: 518ms, Bug: Y , N_Count: 1428 , OK_Count: 1098, Abort Rate: 0.231
Round: 2, Time: 14226ms, Checking Time: 451ms, Bug: Y , N_Count: 1299 , OK_Count: 1093, Abort Rate: 0.159
Round: 3, Time: 24582ms, Checking Time: 381ms, Bug: N , N_Count: 1279 , OK_Count: 1092, Abort Rate: 0.146
Round: 4, Time: 19946ms, Checking Time: 452ms, Bug: Y , N_Count: 1354 , OK_Count: 1095, Abort Rate: 0.191
Round: 5, Time: 15430ms, Checking Time: 527ms, Bug: Y , N_Count: 1410 , OK_Count: 1095, Abort Rate: 0.223
Round: 6, Time: 14143ms, Checking Time: 393ms, Bug: N , N_Count: 1397 , OK_Count: 1098, Abort Rate: 0.214
Round: 7, Time: 16979ms, Checking Time: 511ms, Bug: Y , N_Count: 1340 , OK_Count: 1098, Abort Rate: 0.181
Round: 8, Time: 15292ms, Checking Time: 416ms, Bug: N , N_Count: 1306 , OK_Count: 1093, Abort Rate: 0.163
Round: 9, Time: 17070ms, Checking Time: 513ms, Bug: N , N_Count: 1826 , OK_Count: 1098, Abort Rate: 0.399
Round: 10, Time: 18054ms, Checking Time: 396ms, Bug: N , N_Count: 1433 , OK_Count: 1091, Abort Rate: 0.239
Round: 11, Time: 14046ms, Checking Time: 385ms, Bug: N , N_Count: 1264 , OK_Count: 1094, Abort Rate: 0.134
Round: 12, Time: 16910ms, Checking Time: 422ms, Bug: N , N_Count: 1514 , OK_Count: 1098, Abort Rate: 0.275
Round: 13, Time: 16811ms, Checking Time: 393ms, Bug: N , N_Count: 1698 , OK_Count: 1097, Abort Rate: 0.354
Round: 14, Time: 16093ms, Checking Time: 413ms, Bug: N , N_Count: 1640 , OK_Count: 1097, Abort Rate: 0.331
Round: 15, Time: 20059ms, Checking Time: 413ms, Bug: N , N_Count: 1418 , OK_Count: 1098, Abort Rate: 0.226
Round: 16, Time: 17010ms, Checking Time: 527ms, Bug: Y , N_Count: 1992 , OK_Count: 1098, Abort Rate: 0.449
Round: 17, Time: 17361ms, Checking Time: 436ms, Bug: N , N_Count: 1331 , OK_Count: 1094, Abort Rate: 0.178
Round: 18, Time: 13890ms, Checking Time: 572ms, Bug: Y , N_Count: 1346 , OK_Count: 1098, Abort Rate: 0.184
Round: 19, Time: 17031ms, Checking Time: 446ms, Bug: N , N_Count: 1414 , OK_Count: 1097, Abort Rate: 0.224
Round: 20, Time: 19782ms, Checking Time: 393ms, Bug: N , N_Count: 1514 , OK_Count: 1090, Abort Rate: 0.280
Round: 21, Time: 15229ms, Checking Time: 515ms, Bug: Y , N_Count: 1340 , OK_Count: 1098, Abort Rate: 0.181
Round: 22, Time: 16438ms, Checking Time: 429ms, Bug: N , N_Count: 1580 , OK_Count: 1090, Abort Rate: 0.310
Round: 23, Time: 14521ms, Checking Time: 562ms, Bug: Y , N_Count: 1327 , OK_Count: 1098, Abort Rate: 0.173
Round: 24, Time: 14027ms, Checking Time: 446ms, Bug: Y , N_Count: 1274 , OK_Count: 1095, Abort Rate: 0.141
Round: 25, Time: 16302ms, Checking Time: 503ms, Bug: Y , N_Count: 1469 , OK_Count: 1098, Abort Rate: 0.253
Round: 26, Time: 14278ms, Checking Time: 468ms, Bug: Y , N_Count: 1260 , OK_Count: 1075, Abort Rate: 0.147
Round: 27, Time: 17866ms, Checking Time: 446ms, Bug: Y , N_Count: 1453 , OK_Count: 1096, Abort Rate: 0.246
Round: 28, Time: 17050ms, Checking Time: 519ms, Bug: Y , N_Count: 1495 , OK_Count: 1098, Abort Rate: 0.266
