Run with txn_num: 3000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 18415ms, Checking Time: 928ms, Bug: N , N_Count: 3927 , OK_Count: 3002, Abort Rate: 0.236
Round: 2, Time: 15383ms, Checking Time: 677ms, Bug: N , N_Count: 3806 , OK_Count: 3004, Abort Rate: 0.211
Round: 3, Time: 15068ms, Checking Time: 647ms, Bug: N , N_Count: 3730 , OK_Count: 3004, Abort Rate: 0.195
Round: 4, Time: 15527ms, Checking Time: 737ms, Bug: N , N_Count: 3850 , OK_Count: 3002, Abort Rate: 0.220
Round: 5, Time: 15664ms, Checking Time: 681ms, Bug: N , N_Count: 3929 , OK_Count: 3001, Abort Rate: 0.236
Round: 6, Time: 14987ms, Checking Time: 624ms, Bug: N , N_Count: 3730 , OK_Count: 3002, Abort Rate: 0.195
Round: 7, Time: 16728ms, Checking Time: 721ms, Bug: N , N_Count: 4103 , OK_Count: 3003, Abort Rate: 0.268
Round: 8, Time: 15011ms, Checking Time: 658ms, Bug: N , N_Count: 3819 , OK_Count: 3003, Abort Rate: 0.214
Round: 9, Time: 15828ms, Checking Time: 634ms, Bug: N , N_Count: 4123 , OK_Count: 3003, Abort Rate: 0.272
Round: 10, Time: 15552ms, Checking Time: 666ms, Bug: N , N_Count: 4003 , OK_Count: 3004, Abort Rate: 0.250
Round: 11, Time: 15024ms, Checking Time: 684ms, Bug: N , N_Count: 3750 , OK_Count: 3003, Abort Rate: 0.199
Round: 12, Time: 15420ms, Checking Time: 672ms, Bug: N , N_Count: 3718 , OK_Count: 3002, Abort Rate: 0.193
Round: 13, Time: 15048ms, Checking Time: 714ms, Bug: N , N_Count: 3746 , OK_Count: 3006, Abort Rate: 0.198
Round: 14, Time: 15653ms, Checking Time: 732ms, Bug: N , N_Count: 4017 , OK_Count: 3002, Abort Rate: 0.253
Round: 15, Time: 15350ms, Checking Time: 681ms, Bug: N , N_Count: 3885 , OK_Count: 3004, Abort Rate: 0.227
Round: 16, Time: 15851ms, Checking Time: 650ms, Bug: N , N_Count: 4084 , OK_Count: 3006, Abort Rate: 0.264
Round: 17, Time: 15533ms, Checking Time: 653ms, Bug: N , N_Count: 3825 , OK_Count: 3003, Abort Rate: 0.215
Round: 18, Time: 14857ms, Checking Time: 673ms, Bug: N , N_Count: 3736 , OK_Count: 3002, Abort Rate: 0.196
Round: 19, Time: 15380ms, Checking Time: 663ms, Bug: Y , N_Count: 3822 , OK_Count: 3004, Abort Rate: 0.214
Round: 20, Time: 15400ms, Checking Time: 654ms, Bug: N , N_Count: 3878 , OK_Count: 3003, Abort Rate: 0.226
Round: 21, Time: 15442ms, Checking Time: 822ms, Bug: N , N_Count: 3815 , OK_Count: 3004, Abort Rate: 0.213
Round: 22, Time: 15202ms, Checking Time: 634ms, Bug: N , N_Count: 3797 , OK_Count: 3006, Abort Rate: 0.208
Round: 23, Time: 15348ms, Checking Time: 667ms, Bug: N , N_Count: 3961 , OK_Count: 3005, Abort Rate: 0.241
Round: 24, Time: 15935ms, Checking Time: 664ms, Bug: N , N_Count: 4057 , OK_Count: 3007, Abort Rate: 0.259
Round: 25, Time: 15116ms, Checking Time: 788ms, Bug: N , N_Count: 3680 , OK_Count: 3004, Abort Rate: 0.184
Round: 26, Time: 14904ms, Checking Time: 670ms, Bug: N , N_Count: 3794 , OK_Count: 3004, Abort Rate: 0.208
Round: 27, Time: 16043ms, Checking Time: 618ms, Bug: Y , N_Count: 3875 , OK_Count: 3012, Abort Rate: 0.223
Round: 28, Time: 14916ms, Checking Time: 608ms, Bug: N , N_Count: 3814 , OK_Count: 3003, Abort Rate: 0.213
Round: 29, Time: 15111ms, Checking Time: 671ms, Bug: N , N_Count: 3748 , OK_Count: 3004, Abort Rate: 0.199
Round: 30, Time: 15142ms, Checking Time: 664ms, Bug: N , N_Count: 3778 , OK_Count: 3004, Abort Rate: 0.205
Round: 31, Time: 15178ms, Checking Time: 646ms, Bug: Y , N_Count: 3740 , OK_Count: 3002, Abort Rate: 0.197
Round: 32, Time: 15680ms, Checking Time: 699ms, Bug: N , N_Count: 4123 , OK_Count: 3002, Abort Rate: 0.272
Round: 33, Time: 16198ms, Checking Time: 669ms, Bug: N , N_Count: 3881 , OK_Count: 3003, Abort Rate: 0.226
Round: 34, Time: 15107ms, Checking Time: 633ms, Bug: N , N_Count: 3729 , OK_Count: 3003, Abort Rate: 0.195
Round: 35, Time: 15577ms, Checking Time: 681ms, Bug: N , N_Count: 3733 , OK_Count: 3004, Abort Rate: 0.195
Round: 36, Time: 15293ms, Checking Time: 586ms, Bug: N , N_Count: 3795 , OK_Count: 3003, Abort Rate: 0.209
Round: 37, Time: 15340ms, Checking Time: 687ms, Bug: N , N_Count: 3834 , OK_Count: 3002, Abort Rate: 0.217
Round: 38, Time: 15358ms, Checking Time: 677ms, Bug: N , N_Count: 3840 , OK_Count: 3003, Abort Rate: 0.218
Round: 39, Time: 15333ms, Checking Time: 615ms, Bug: N , N_Count: 3909 , OK_Count: 3001, Abort Rate: 0.232
Round: 40, Time: 15314ms, Checking Time: 625ms, Bug: N , N_Count: 3922 , OK_Count: 3001, Abort Rate: 0.235
Round: 41, Time: 15715ms, Checking Time: 614ms, Bug: N , N_Count: 3834 , OK_Count: 3008, Abort Rate: 0.215
Round: 42, Time: 14974ms, Checking Time: 678ms, Bug: N , N_Count: 3734 , OK_Count: 3002, Abort Rate: 0.196
Round: 43, Time: 16613ms, Checking Time: 659ms, Bug: N , N_Count: 4170 , OK_Count: 3007, Abort Rate: 0.279
Round: 44, Time: 16802ms, Checking Time: 830ms, Bug: N , N_Count: 4363 , OK_Count: 3004, Abort Rate: 0.311
Round: 45, Time: 15252ms, Checking Time: 670ms, Bug: N , N_Count: 3796 , OK_Count: 3003, Abort Rate: 0.209
Round: 46, Time: 15498ms, Checking Time: 586ms, Bug: N , N_Count: 3844 , OK_Count: 3004, Abort Rate: 0.219
Round: 47, Time: 15304ms, Checking Time: 708ms, Bug: N , N_Count: 3740 , OK_Count: 3002, Abort Rate: 0.197
Round: 48, Time: 15922ms, Checking Time: 612ms, Bug: N , N_Count: 3818 , OK_Count: 3006, Abort Rate: 0.213
Round: 49, Time: 15255ms, Checking Time: 654ms, Bug: N , N_Count: 3860 , OK_Count: 3002, Abort Rate: 0.222
Round: 50, Time: 17513ms, Checking Time: 679ms, Bug: N , N_Count: 4398 , OK_Count: 3005, Abort Rate: 0.317
=======================
Total Run Time: 778064ms, Total Checking Time: 33763ms
Bug / Total: 3/50

max_txn_length: 4
=======================
Round: 1, Time: 26019ms, Checking Time: 1102ms, Bug: Y , N_Count: 8470 , OK_Count: 3005, Abort Rate: 0.645
Round: 2, Time: 24343ms, Checking Time: 1148ms, Bug: Y , N_Count: 7859 , OK_Count: 3004, Abort Rate: 0.618
Round: 3, Time: 28574ms, Checking Time: 1124ms, Bug: N , N_Count: 9831 , OK_Count: 3004, Abort Rate: 0.694
Round: 4, Time: 28937ms, Checking Time: 1201ms, Bug: N , N_Count: 9963 , OK_Count: 3006, Abort Rate: 0.698
Round: 5, Time: 24103ms, Checking Time: 1063ms, Bug: Y , N_Count: 7532 , OK_Count: 3006, Abort Rate: 0.601
Round: 6, Time: 23840ms, Checking Time: 1087ms, Bug: Y , N_Count: 7355 , OK_Count: 3009, Abort Rate: 0.591
Round: 7, Time: 27063ms, Checking Time: 1189ms, Bug: Y , N_Count: 9268 , OK_Count: 3002, Abort Rate: 0.676
Round: 8, Time: 26152ms, Checking Time: 1165ms, Bug: Y , N_Count: 8318 , OK_Count: 3007, Abort Rate: 0.638
Round: 9, Time: 24868ms, Checking Time: 1111ms, Bug: Y , N_Count: 8167 , OK_Count: 3003, Abort Rate: 0.632
Round: 10, Time: 25617ms, Checking Time: 1229ms, Bug: Y , N_Count: 8459 , OK_Count: 3003, Abort Rate: 0.645
Round: 11, Time: 27620ms, Checking Time: 1214ms, Bug: Y , N_Count: 9009 , OK_Count: 3009, Abort Rate: 0.666
Round: 12, Time: 25747ms, Checking Time: 1175ms, Bug: Y , N_Count: 8071 , OK_Count: 3009, Abort Rate: 0.627
Round: 13, Time: 27445ms, Checking Time: 1255ms, Bug: Y , N_Count: 8806 , OK_Count: 3010, Abort Rate: 0.658
Round: 14, Time: 26904ms, Checking Time: 1256ms, Bug: Y , N_Count: 9066 , OK_Count: 3003, Abort Rate: 0.669
Round: 15, Time: 23001ms, Checking Time: 1066ms, Bug: Y , N_Count: 6961 , OK_Count: 3008, Abort Rate: 0.568
Round: 16, Time: 24252ms, Checking Time: 935ms, Bug: Y , N_Count: 7957 , OK_Count: 3005, Abort Rate: 0.622
Round: 17, Time: 25893ms, Checking Time: 1162ms, Bug: Y , N_Count: 8255 , OK_Count: 3014, Abort Rate: 0.635
Round: 18, Time: 26311ms, Checking Time: 1243ms, Bug: Y , N_Count: 8646 , OK_Count: 3001, Abort Rate: 0.653
Round: 19, Time: 25344ms, Checking Time: 1141ms, Bug: Y , N_Count: 8365 , OK_Count: 3004, Abort Rate: 0.641
Round: 20, Time: 24956ms, Checking Time: 1096ms, Bug: Y , N_Count: 7799 , OK_Count: 3007, Abort Rate: 0.614
Round: 21, Time: 27767ms, Checking Time: 1105ms, Bug: Y , N_Count: 9155 , OK_Count: 3011, Abort Rate: 0.671
Round: 22, Time: 24213ms, Checking Time: 1036ms, Bug: N , N_Count: 7660 , OK_Count: 3014, Abort Rate: 0.607
Round: 23, Time: 27320ms, Checking Time: 1199ms, Bug: Y , N_Count: 9125 , OK_Count: 3005, Abort Rate: 0.671
Round: 24, Time: 27204ms, Checking Time: 1242ms, Bug: Y , N_Count: 8803 , OK_Count: 3003, Abort Rate: 0.659
Round: 25, Time: 27698ms, Checking Time: 1214ms, Bug: Y , N_Count: 9004 , OK_Count: 3003, Abort Rate: 0.666
Round: 26, Time: 26933ms, Checking Time: 1254ms, Bug: Y , N_Count: 8855 , OK_Count: 3003, Abort Rate: 0.661
Round: 27, Time: 24837ms, Checking Time: 1134ms, Bug: Y , N_Count: 7720 , OK_Count: 3009, Abort Rate: 0.610
Round: 28, Time: 25090ms, Checking Time: 1045ms, Bug: Y , N_Count: 8201 , OK_Count: 3006, Abort Rate: 0.633
Round: 29, Time: 24836ms, Checking Time: 1131ms, Bug: Y , N_Count: 8214 , OK_Count: 3006, Abort Rate: 0.634
Round: 30, Time: 25641ms, Checking Time: 1112ms, Bug: Y , N_Count: 8379 , OK_Count: 3008, Abort Rate: 0.641
Round: 31, Time: 23223ms, Checking Time: 1018ms, Bug: Y , N_Count: 7094 , OK_Count: 3006, Abort Rate: 0.576
Round: 32, Time: 27766ms, Checking Time: 1182ms, Bug: Y , N_Count: 9124 , OK_Count: 3003, Abort Rate: 0.671
Round: 33, Time: 26270ms, Checking Time: 1154ms, Bug: Y , N_Count: 8343 , OK_Count: 3009, Abort Rate: 0.639
Round: 34, Time: 23202ms, Checking Time: 991ms, Bug: Y , N_Count: 7482 , OK_Count: 3002, Abort Rate: 0.599
Round: 35, Time: 25150ms, Checking Time: 1048ms, Bug: N , N_Count: 7593 , OK_Count: 3009, Abort Rate: 0.604
Round: 36, Time: 25262ms, Checking Time: 1091ms, Bug: Y , N_Count: 8034 , OK_Count: 3002, Abort Rate: 0.626
Round: 37, Time: 27372ms, Checking Time: 1225ms, Bug: Y , N_Count: 8910 , OK_Count: 3003, Abort Rate: 0.663
Round: 38, Time: 27543ms, Checking Time: 1254ms, Bug: Y , N_Count: 8713 , OK_Count: 3007, Abort Rate: 0.655
Round: 39, Time: 27251ms, Checking Time: 1181ms, Bug: Y , N_Count: 8831 , OK_Count: 3008, Abort Rate: 0.659
Round: 40, Time: 25922ms, Checking Time: 1147ms, Bug: Y , N_Count: 8473 , OK_Count: 3002, Abort Rate: 0.646
Round: 41, Time: 25164ms, Checking Time: 1116ms, Bug: N , N_Count: 7879 , OK_Count: 3008, Abort Rate: 0.618
Round: 42, Time: 25233ms, Checking Time: 991ms, Bug: Y , N_Count: 8007 , OK_Count: 3008, Abort Rate: 0.624
Round: 43, Time: 26493ms, Checking Time: 1157ms, Bug: Y , N_Count: 7990 , OK_Count: 3005, Abort Rate: 0.624
Round: 44, Time: 24929ms, Checking Time: 1041ms, Bug: Y , N_Count: 8167 , OK_Count: 3002, Abort Rate: 0.632
Round: 45, Time: 24894ms, Checking Time: 994ms, Bug: Y , N_Count: 8155 , OK_Count: 3002, Abort Rate: 0.632
Round: 46, Time: 25445ms, Checking Time: 1168ms, Bug: Y , N_Count: 8100 , OK_Count: 3002, Abort Rate: 0.629
Round: 47, Time: 26115ms, Checking Time: 1141ms, Bug: Y , N_Count: 8719 , OK_Count: 3011, Abort Rate: 0.655
Round: 48, Time: 27225ms, Checking Time: 1162ms, Bug: Y , N_Count: 8744 , OK_Count: 3007, Abort Rate: 0.656
Round: 49, Time: 22493ms, Checking Time: 1019ms, Bug: Y , N_Count: 6832 , OK_Count: 3008, Abort Rate: 0.560
Round: 50, Time: 27107ms, Checking Time: 1194ms, Bug: Y , N_Count: 8823 , OK_Count: 3005, Abort Rate: 0.659
=======================
Total Run Time: 1292587ms, Total Checking Time: 56708ms
Bug / Total: 45/50

max_txn_length: 6
=======================
Round: 1, Time: 41737ms, Checking Time: 1980ms, Bug: Y , N_Count: 15413 , OK_Count: 3003, Abort Rate: 0.805
Round: 2, Time: 42761ms, Checking Time: 1887ms, Bug: Y , N_Count: 15585 , OK_Count: 3002, Abort Rate: 0.807
Round: 3, Time: 41085ms, Checking Time: 1878ms, Bug: Y , N_Count: 14867 , OK_Count: 3010, Abort Rate: 0.798
Round: 4, Time: 40784ms, Checking Time: 2060ms, Bug: Y , N_Count: 15324 , OK_Count: 3006, Abort Rate: 0.804
Round: 5, Time: 40749ms, Checking Time: 1942ms, Bug: Y , N_Count: 14946 , OK_Count: 3009, Abort Rate: 0.799
Round: 6, Time: 44210ms, Checking Time: 2337ms, Bug: Y , N_Count: 16792 , OK_Count: 3006, Abort Rate: 0.821
Round: 7, Time: 40772ms, Checking Time: 1866ms, Bug: Y , N_Count: 14623 , OK_Count: 3004, Abort Rate: 0.795
Round: 8, Time: 40523ms, Checking Time: 1807ms, Bug: Y , N_Count: 14261 , OK_Count: 3008, Abort Rate: 0.789
Round: 9, Time: 37674ms, Checking Time: 1505ms, Bug: Y , N_Count: 13688 , OK_Count: 3008, Abort Rate: 0.780
Round: 10, Time: 39334ms, Checking Time: 1826ms, Bug: Y , N_Count: 14310 , OK_Count: 3010, Abort Rate: 0.790
Round: 11, Time: 40939ms, Checking Time: 1757ms, Bug: Y , N_Count: 15551 , OK_Count: 3004, Abort Rate: 0.807
Round: 12, Time: 36335ms, Checking Time: 1660ms, Bug: Y , N_Count: 13006 , OK_Count: 3005, Abort Rate: 0.769
Round: 13, Time: 37485ms, Checking Time: 1643ms, Bug: Y , N_Count: 13931 , OK_Count: 3005, Abort Rate: 0.784
Round: 14, Time: 35247ms, Checking Time: 1553ms, Bug: Y , N_Count: 12855 , OK_Count: 3002, Abort Rate: 0.766
Round: 15, Time: 40747ms, Checking Time: 1770ms, Bug: Y , N_Count: 15277 , OK_Count: 3006, Abort Rate: 0.803
Round: 16, Time: 38178ms, Checking Time: 1663ms, Bug: Y , N_Count: 13750 , OK_Count: 3005, Abort Rate: 0.781
Round: 17, Time: 43088ms, Checking Time: 1953ms, Bug: Y , N_Count: 15790 , OK_Count: 3012, Abort Rate: 0.809
Round: 18, Time: 39269ms, Checking Time: 1689ms, Bug: Y , N_Count: 14236 , OK_Count: 3004, Abort Rate: 0.789
Round: 19, Time: 36318ms, Checking Time: 1603ms, Bug: Y , N_Count: 13169 , OK_Count: 3007, Abort Rate: 0.772
Round: 20, Time: 40108ms, Checking Time: 1667ms, Bug: Y , N_Count: 15212 , OK_Count: 3002, Abort Rate: 0.803
Round: 21, Time: 40123ms, Checking Time: 1878ms, Bug: Y , N_Count: 14924 , OK_Count: 3005, Abort Rate: 0.799
Round: 22, Time: 41164ms, Checking Time: 1942ms, Bug: Y , N_Count: 15617 , OK_Count: 3003, Abort Rate: 0.808
Round: 23, Time: 43872ms, Checking Time: 1774ms, Bug: Y , N_Count: 16245 , OK_Count: 3006, Abort Rate: 0.815
Round: 24, Time: 38405ms, Checking Time: 1828ms, Bug: Y , N_Count: 14055 , OK_Count: 3004, Abort Rate: 0.786
Round: 25, Time: 38951ms, Checking Time: 1448ms, Bug: Y , N_Count: 14447 , OK_Count: 3003, Abort Rate: 0.792
Round: 26, Time: 41675ms, Checking Time: 1116ms, Bug: Y , N_Count: 15312 , OK_Count: 3008, Abort Rate: 0.804
Round: 27, Time: 41784ms, Checking Time: 1292ms, Bug: Y , N_Count: 16009 , OK_Count: 3006, Abort Rate: 0.812
Round: 28, Time: 39306ms, Checking Time: 1288ms, Bug: Y , N_Count: 14759 , OK_Count: 3011, Abort Rate: 0.796
Round: 29, Time: 38957ms, Checking Time: 1721ms, Bug: Y , N_Count: 13874 , OK_Count: 3006, Abort Rate: 0.783
Round: 30, Time: 39745ms, Checking Time: 1849ms, Bug: Y , N_Count: 14319 , OK_Count: 3005, Abort Rate: 0.790
Round: 31, Time: 40741ms, Checking Time: 1863ms, Bug: Y , N_Count: 14918 , OK_Count: 3007, Abort Rate: 0.798
Round: 32, Time: 36646ms, Checking Time: 1654ms, Bug: Y , N_Count: 13224 , OK_Count: 3004, Abort Rate: 0.773
Round: 33, Time: 39132ms, Checking Time: 1731ms, Bug: Y , N_Count: 14282 , OK_Count: 3006, Abort Rate: 0.790
Round: 34, Time: 39068ms, Checking Time: 1539ms, Bug: Y , N_Count: 14324 , OK_Count: 3011, Abort Rate: 0.790
Round: 35, Time: 40291ms, Checking Time: 1838ms, Bug: Y , N_Count: 14757 , OK_Count: 3010, Abort Rate: 0.796
Round: 36, Time: 35840ms, Checking Time: 1631ms, Bug: Y , N_Count: 13147 , OK_Count: 3005, Abort Rate: 0.771
Round: 37, Time: 41444ms, Checking Time: 1679ms, Bug: Y , N_Count: 15678 , OK_Count: 3007, Abort Rate: 0.808
Round: 38, Time: 41676ms, Checking Time: 1953ms, Bug: Y , N_Count: 15713 , OK_Count: 3005, Abort Rate: 0.809
Round: 39, Time: 36497ms, Checking Time: 1689ms, Bug: Y , N_Count: 13117 , OK_Count: 3007, Abort Rate: 0.771
Round: 40, Time: 38837ms, Checking Time: 1636ms, Bug: Y , N_Count: 14438 , OK_Count: 3007, Abort Rate: 0.792
Round: 41, Time: 38993ms, Checking Time: 1709ms, Bug: Y , N_Count: 13938 , OK_Count: 3005, Abort Rate: 0.784
Round: 42, Time: 40539ms, Checking Time: 1930ms, Bug: Y , N_Count: 14779 , OK_Count: 3009, Abort Rate: 0.796
Round: 43, Time: 41685ms, Checking Time: 1829ms, Bug: Y , N_Count: 15233 , OK_Count: 3008, Abort Rate: 0.803
Round: 44, Time: 43623ms, Checking Time: 1657ms, Bug: Y , N_Count: 16545 , OK_Count: 3010, Abort Rate: 0.818
Round: 45, Time: 38587ms, Checking Time: 1729ms, Bug: Y , N_Count: 13852 , OK_Count: 3003, Abort Rate: 0.783
Round: 46, Time: 41523ms, Checking Time: 1920ms, Bug: Y , N_Count: 15309 , OK_Count: 3009, Abort Rate: 0.803
Round: 47, Time: 38269ms, Checking Time: 1581ms, Bug: Y , N_Count: 13818 , OK_Count: 3009, Abort Rate: 0.782
Round: 48, Time: 40756ms, Checking Time: 1756ms, Bug: Y , N_Count: 14622 , OK_Count: 3011, Abort Rate: 0.794
Round: 49, Time: 44227ms, Checking Time: 1603ms, Bug: Y , N_Count: 16330 , OK_Count: 3007, Abort Rate: 0.816
Round: 50, Time: 40168ms, Checking Time: 2007ms, Bug: Y , N_Count: 14618 , OK_Count: 3008, Abort Rate: 0.794
=======================
Total Run Time: 1999867ms, Total Checking Time: 87116ms
Bug / Total: 50/50

max_txn_length: 8
=======================
Round: 1, Time: 53304ms, Checking Time: 2190ms, Bug: Y , N_Count: 20756 , OK_Count: 3008, Abort Rate: 0.855
Round: 2, Time: 54898ms, Checking Time: 2609ms, Bug: Y , N_Count: 21606 , OK_Count: 3003, Abort Rate: 0.861
Round: 3, Time: 56301ms, Checking Time: 2358ms, Bug: Y , N_Count: 22391 , OK_Count: 3005, Abort Rate: 0.866
Round: 4, Time: 56851ms, Checking Time: 2591ms, Bug: Y , N_Count: 22455 , OK_Count: 3004, Abort Rate: 0.866
Round: 5, Time: 51757ms, Checking Time: 2086ms, Bug: Y , N_Count: 19763 , OK_Count: 3008, Abort Rate: 0.848
Round: 6, Time: 54170ms, Checking Time: 2324ms, Bug: Y , N_Count: 21255 , OK_Count: 3007, Abort Rate: 0.859
Round: 7, Time: 52053ms, Checking Time: 2444ms, Bug: Y , N_Count: 19936 , OK_Count: 3005, Abort Rate: 0.849
Round: 8, Time: 58098ms, Checking Time: 2663ms, Bug: Y , N_Count: 22905 , OK_Count: 3005, Abort Rate: 0.869
Round: 9, Time: 51880ms, Checking Time: 1903ms, Bug: Y , N_Count: 20323 , OK_Count: 3005, Abort Rate: 0.852
Round: 10, Time: 54629ms, Checking Time: 2315ms, Bug: Y , N_Count: 21062 , OK_Count: 3004, Abort Rate: 0.857
Round: 11, Time: 55170ms, Checking Time: 2658ms, Bug: Y , N_Count: 21494 , OK_Count: 3007, Abort Rate: 0.860
Round: 12, Time: 53634ms, Checking Time: 2467ms, Bug: Y , N_Count: 20873 , OK_Count: 3003, Abort Rate: 0.856
Round: 13, Time: 52054ms, Checking Time: 1967ms, Bug: Y , N_Count: 20109 , OK_Count: 3004, Abort Rate: 0.851
Round: 14, Time: 54721ms, Checking Time: 2500ms, Bug: Y , N_Count: 20875 , OK_Count: 3001, Abort Rate: 0.856
Round: 15, Time: 54693ms, Checking Time: 1921ms, Bug: Y , N_Count: 21413 , OK_Count: 3003, Abort Rate: 0.860
Round: 16, Time: 52760ms, Checking Time: 2093ms, Bug: Y , N_Count: 20855 , OK_Count: 3004, Abort Rate: 0.856
Round: 17, Time: 57147ms, Checking Time: 2113ms, Bug: Y , N_Count: 22195 , OK_Count: 3008, Abort Rate: 0.864
Round: 18, Time: 49132ms, Checking Time: 1882ms, Bug: Y , N_Count: 19331 , OK_Count: 3013, Abort Rate: 0.844
Round: 19, Time: 49636ms, Checking Time: 2001ms, Bug: Y , N_Count: 19403 , OK_Count: 3006, Abort Rate: 0.845
Round: 20, Time: 54926ms, Checking Time: 1947ms, Bug: Y , N_Count: 21614 , OK_Count: 3005, Abort Rate: 0.861
Round: 21, Time: 49498ms, Checking Time: 2063ms, Bug: Y , N_Count: 19262 , OK_Count: 3004, Abort Rate: 0.844
Round: 22, Time: 55950ms, Checking Time: 1967ms, Bug: Y , N_Count: 22081 , OK_Count: 3008, Abort Rate: 0.864
Round: 23, Time: 51154ms, Checking Time: 2503ms, Bug: Y , N_Count: 19618 , OK_Count: 3005, Abort Rate: 0.847
Round: 24, Time: 56357ms, Checking Time: 2193ms, Bug: Y , N_Count: 22260 , OK_Count: 3004, Abort Rate: 0.865
Round: 25, Time: 52704ms, Checking Time: 1865ms, Bug: Y , N_Count: 20765 , OK_Count: 3006, Abort Rate: 0.855
Round: 26, Time: 57286ms, Checking Time: 2217ms, Bug: Y , N_Count: 22305 , OK_Count: 3005, Abort Rate: 0.865
Round: 27, Time: 55781ms, Checking Time: 2248ms, Bug: Y , N_Count: 21602 , OK_Count: 3012, Abort Rate: 0.861
Round: 28, Time: 53694ms, Checking Time: 1845ms, Bug: Y , N_Count: 21066 , OK_Count: 3005, Abort Rate: 0.857
Round: 29, Time: 50543ms, Checking Time: 2241ms, Bug: Y , N_Count: 19551 , OK_Count: 3004, Abort Rate: 0.846
Round: 30, Time: 54261ms, Checking Time: 1981ms, Bug: Y , N_Count: 21176 , OK_Count: 3004, Abort Rate: 0.858
Round: 31, Time: 55848ms, Checking Time: 2027ms, Bug: Y , N_Count: 22002 , OK_Count: 3008, Abort Rate: 0.863
Round: 32, Time: 60508ms, Checking Time: 2230ms, Bug: Y , N_Count: 23224 , OK_Count: 3010, Abort Rate: 0.870
Round: 33, Time: 52334ms, Checking Time: 1979ms, Bug: Y , N_Count: 20367 , OK_Count: 3010, Abort Rate: 0.852
Round: 34, Time: 53398ms, Checking Time: 2379ms, Bug: Y , N_Count: 20760 , OK_Count: 3006, Abort Rate: 0.855
Round: 35, Time: 57004ms, Checking Time: 2253ms, Bug: Y , N_Count: 22125 , OK_Count: 3008, Abort Rate: 0.864
Round: 36, Time: 52679ms, Checking Time: 2224ms, Bug: Y , N_Count: 20361 , OK_Count: 3005, Abort Rate: 0.852
Round: 37, Time: 53817ms, Checking Time: 2152ms, Bug: Y , N_Count: 20533 , OK_Count: 3007, Abort Rate: 0.854
Round: 38, Time: 47945ms, Checking Time: 1294ms, Bug: Y , N_Count: 18849 , OK_Count: 3003, Abort Rate: 0.841
