Run with txn_num: 3000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 27241ms, Checking Time: 904ms, Bug: N , N_Count: 3886 , OK_Count: 3098, Abort Rate: 0.203
Round: 2, Time: 19901ms, Checking Time: 1088ms, Bug: N , N_Count: 4271 , OK_Count: 3036, Abort Rate: 0.289
Round: 3, Time: 17587ms, Checking Time: 776ms, Bug: N , N_Count: 3629 , OK_Count: 3054, Abort Rate: 0.158
Round: 4, Time: 17451ms, Checking Time: 888ms, Bug: N , N_Count: 3785 , OK_Count: 3092, Abort Rate: 0.183
Round: 5, Time: 19247ms, Checking Time: 866ms, Bug: N , N_Count: 3990 , OK_Count: 3091, Abort Rate: 0.225
Round: 6, Time: 18372ms, Checking Time: 710ms, Bug: N , N_Count: 3438 , OK_Count: 3071, Abort Rate: 0.107
Round: 7, Time: 24550ms, Checking Time: 813ms, Bug: N , N_Count: 3890 , OK_Count: 3067, Abort Rate: 0.212
Round: 8, Time: 20721ms, Checking Time: 789ms, Bug: N , N_Count: 3693 , OK_Count: 3065, Abort Rate: 0.170
Round: 9, Time: 20856ms, Checking Time: 896ms, Bug: N , N_Count: 4310 , OK_Count: 3087, Abort Rate: 0.284
Round: 10, Time: 24785ms, Checking Time: 800ms, Bug: N , N_Count: 4046 , OK_Count: 3096, Abort Rate: 0.235
Round: 11, Time: 18991ms, Checking Time: 782ms, Bug: N , N_Count: 3825 , OK_Count: 3053, Abort Rate: 0.202
Round: 12, Time: 20742ms, Checking Time: 817ms, Bug: N , N_Count: 3943 , OK_Count: 3073, Abort Rate: 0.221
Round: 13, Time: 19567ms, Checking Time: 756ms, Bug: N , N_Count: 3335 , OK_Count: 3038, Abort Rate: 0.089
Round: 14, Time: 23447ms, Checking Time: 906ms, Bug: N , N_Count: 3407 , OK_Count: 3058, Abort Rate: 0.102
Round: 15, Time: 24449ms, Checking Time: 857ms, Bug: N , N_Count: 3390 , OK_Count: 3034, Abort Rate: 0.105
Round: 16, Time: 21224ms, Checking Time: 859ms, Bug: N , N_Count: 4860 , OK_Count: 3057, Abort Rate: 0.371
Round: 17, Time: 18957ms, Checking Time: 825ms, Bug: N , N_Count: 3392 , OK_Count: 3016, Abort Rate: 0.111
Round: 18, Time: 17846ms, Checking Time: 762ms, Bug: N , N_Count: 3398 , OK_Count: 3028, Abort Rate: 0.109
Round: 19, Time: 25457ms, Checking Time: 800ms, Bug: N , N_Count: 3539 , OK_Count: 3071, Abort Rate: 0.132
Round: 20, Time: 20504ms, Checking Time: 915ms, Bug: N , N_Count: 4491 , OK_Count: 3090, Abort Rate: 0.312
Round: 21, Time: 20545ms, Checking Time: 985ms, Bug: N , N_Count: 4014 , OK_Count: 3047, Abort Rate: 0.241
Round: 22, Time: 28070ms, Checking Time: 907ms, Bug: N , N_Count: 4379 , OK_Count: 3093, Abort Rate: 0.294
Round: 23, Time: 21968ms, Checking Time: 790ms, Bug: N , N_Count: 3696 , OK_Count: 3078, Abort Rate: 0.167
Round: 24, Time: 21138ms, Checking Time: 839ms, Bug: N , N_Count: 3582 , OK_Count: 3097, Abort Rate: 0.135
Round: 25, Time: 21869ms, Checking Time: 946ms, Bug: N , N_Count: 3754 , OK_Count: 3073, Abort Rate: 0.181
Round: 26, Time: 21749ms, Checking Time: 974ms, Bug: N , N_Count: 4107 , OK_Count: 3092, Abort Rate: 0.247
Round: 27, Time: 23090ms, Checking Time: 910ms, Bug: N , N_Count: 5068 , OK_Count: 3078, Abort Rate: 0.393
Round: 28, Time: 16982ms, Checking Time: 794ms, Bug: N , N_Count: 4074 , OK_Count: 3008, Abort Rate: 0.262
