Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 111971ms, Checking Time: 1256ms, Bug: Y , N_Count: 5058 , OK_Count: 5000, Abort Rate: 0.012
Round: 2, Time: 86619ms, Checking Time: 710ms, Bug: Y , N_Count: 5058 , OK_Count: 5001, Abort Rate: 0.011
Round: 3, Time: 99868ms, Checking Time: 873ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 4, Time: 83562ms, Checking Time: 3044ms, Bug: Y , N_Count: 5046 , OK_Count: 5000, Abort Rate: 0.009
Round: 5, Time: 69118ms, Checking Time: 491ms, Bug: N , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 6, Time: 74303ms, Checking Time: 547ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 7, Time: 122559ms, Checking Time: 672ms, Bug: Y , N_Count: 5079 , OK_Count: 5000, Abort Rate: 0.016
Round: 8, Time: 86459ms, Checking Time: 1423ms, Bug: Y , N_Count: 5054 , OK_Count: 5000, Abort Rate: 0.011
Round: 9, Time: 116215ms, Checking Time: 1283ms, Bug: Y , N_Count: 5088 , OK_Count: 5000, Abort Rate: 0.018
Round: 10, Time: 88788ms, Checking Time: 721ms, Bug: Y , N_Count: 5053 , OK_Count: 5000, Abort Rate: 0.011
Round: 11, Time: 75557ms, Checking Time: 1356ms, Bug: Y , N_Count: 5036 , OK_Count: 5000, Abort Rate: 0.007
Round: 12, Time: 86409ms, Checking Time: 4757ms, Bug: Y , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 13, Time: 89296ms, Checking Time: 666ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 14, Time: 78594ms, Checking Time: 591ms, Bug: Y , N_Count: 5052 , OK_Count: 5000, Abort Rate: 0.010
Round: 15, Time: 90120ms, Checking Time: 773ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 16, Time: 101481ms, Checking Time: 630ms, Bug: Y , N_Count: 5071 , OK_Count: 5000, Abort Rate: 0.014
Round: 17, Time: 141443ms, Checking Time: 641ms, Bug: Y , N_Count: 5087 , OK_Count: 5000, Abort Rate: 0.017
Round: 18, Time: 106259ms, Checking Time: 3457ms, Bug: Y , N_Count: 5066 , OK_Count: 5001, Abort Rate: 0.013
Round: 19, Time: 87963ms, Checking Time: 4725ms, Bug: Y , N_Count: 5046 , OK_Count: 5000, Abort Rate: 0.009
Round: 20, Time: 106607ms, Checking Time: 1399ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 21, Time: 81446ms, Checking Time: 580ms, Bug: Y , N_Count: 5028 , OK_Count: 5000, Abort Rate: 0.006
Round: 22, Time: 125840ms, Checking Time: 1549ms, Bug: Y , N_Count: 5079 , OK_Count: 5001, Abort Rate: 0.016
Round: 23, Time: 81696ms, Checking Time: 658ms, Bug: Y , N_Count: 5031 , OK_Count: 5000, Abort Rate: 0.006
Round: 24, Time: 73682ms, Checking Time: 6589ms, Bug: Y , N_Count: 5031 , OK_Count: 5000, Abort Rate: 0.006
Round: 25, Time: 115472ms, Checking Time: 1672ms, Bug: Y , N_Count: 5070 , OK_Count: 5000, Abort Rate: 0.014
Round: 26, Time: 111415ms, Checking Time: 821ms, Bug: Y , N_Count: 5040 , OK_Count: 5000, Abort Rate: 0.008
Round: 27, Time: 101654ms, Checking Time: 585ms, Bug: Y , N_Count: 5050 , OK_Count: 5000, Abort Rate: 0.010
Round: 28, Time: 80228ms, Checking Time: 557ms, Bug: N , N_Count: 5045 , OK_Count: 5001, Abort Rate: 0.009
Round: 29, Time: 81435ms, Checking Time: 2382ms, Bug: Y , N_Count: 5041 , OK_Count: 5000, Abort Rate: 0.008
Round: 30, Time: 84488ms, Checking Time: 929ms, Bug: Y , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
Round: 31, Time: 106207ms, Checking Time: 703ms, Bug: Y , N_Count: 5054 , OK_Count: 5000, Abort Rate: 0.011
Round: 32, Time: 87811ms, Checking Time: 1190ms, Bug: Y , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
Round: 33, Time: 112986ms, Checking Time: 6650ms, Bug: Y , N_Count: 5057 , OK_Count: 5000, Abort Rate: 0.011
Round: 34, Time: 90335ms, Checking Time: 492ms, Bug: Y , N_Count: 5049 , OK_Count: 5000, Abort Rate: 0.010
Round: 35, Time: 104982ms, Checking Time: 6524ms, Bug: Y , N_Count: 5049 , OK_Count: 5000, Abort Rate: 0.010
Round: 36, Time: 106846ms, Checking Time: 756ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 37, Time: 120563ms, Checking Time: 6841ms, Bug: Y , N_Count: 5050 , OK_Count: 5001, Abort Rate: 0.010
Round: 38, Time: 116818ms, Checking Time: 1830ms, Bug: Y , N_Count: 5041 , OK_Count: 5000, Abort Rate: 0.008
Round: 39, Time: 87937ms, Checking Time: 507ms, Bug: Y , N_Count: 5051 , OK_Count: 5001, Abort Rate: 0.010
Round: 40, Time: 85256ms, Checking Time: 494ms, Bug: Y , N_Count: 5063 , OK_Count: 5001, Abort Rate: 0.012
Round: 41, Time: 119806ms, Checking Time: 665ms, Bug: Y , N_Count: 5100 , OK_Count: 5000, Abort Rate: 0.020
Round: 42, Time: 108944ms, Checking Time: 540ms, Bug: Y , N_Count: 5070 , OK_Count: 5000, Abort Rate: 0.014
Round: 43, Time: 92714ms, Checking Time: 516ms, Bug: Y , N_Count: 5065 , OK_Count: 5000, Abort Rate: 0.013
Round: 44, Time: 84360ms, Checking Time: 742ms, Bug: Y , N_Count: 5030 , OK_Count: 5000, Abort Rate: 0.006
Round: 45, Time: 89071ms, Checking Time: 636ms, Bug: Y , N_Count: 5053 , OK_Count: 5000, Abort Rate: 0.011
Round: 46, Time: 77760ms, Checking Time: 683ms, Bug: Y , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 47, Time: 106438ms, Checking Time: 1491ms, Bug: Y , N_Count: 5056 , OK_Count: 5000, Abort Rate: 0.011
Round: 48, Time: 95443ms, Checking Time: 546ms, Bug: Y , N_Count: 5062 , OK_Count: 5000, Abort Rate: 0.012
