Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 132488ms, Checking Time: 1053ms, Bug: Y , N_Count: 5072 , OK_Count: 5000, Abort Rate: 0.014
Round: 2, Time: 112642ms, Checking Time: 935ms, Bug: Y , N_Count: 5059 , OK_Count: 5000, Abort Rate: 0.012
Round: 3, Time: 129339ms, Checking Time: 2889ms, Bug: Y , N_Count: 5064 , OK_Count: 5000, Abort Rate: 0.013
Round: 4, Time: 93203ms, Checking Time: 1483ms, Bug: Y , N_Count: 5059 , OK_Count: 5000, Abort Rate: 0.012
Round: 5, Time: 74882ms, Checking Time: 2961ms, Bug: Y , N_Count: 5035 , OK_Count: 5000, Abort Rate: 0.007
Round: 6, Time: 101984ms, Checking Time: 1352ms, Bug: Y , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 7, Time: 132767ms, Checking Time: 7889ms, Bug: Y , N_Count: 5059 , OK_Count: 5000, Abort Rate: 0.012
Round: 8, Time: 108472ms, Checking Time: 2361ms, Bug: Y , N_Count: 5051 , OK_Count: 5000, Abort Rate: 0.010
Round: 9, Time: 95937ms, Checking Time: 1427ms, Bug: Y , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 10, Time: 89338ms, Checking Time: 1296ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 11, Time: 118192ms, Checking Time: 7364ms, Bug: Y , N_Count: 5065 , OK_Count: 5001, Abort Rate: 0.013
Round: 12, Time: 101414ms, Checking Time: 7444ms, Bug: Y , N_Count: 5054 , OK_Count: 5000, Abort Rate: 0.011
Round: 13, Time: 91375ms, Checking Time: 2770ms, Bug: Y , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 14, Time: 125279ms, Checking Time: 2555ms, Bug: Y , N_Count: 5077 , OK_Count: 5000, Abort Rate: 0.015
Round: 15, Time: 135362ms, Checking Time: 1488ms, Bug: Y , N_Count: 5065 , OK_Count: 5001, Abort Rate: 0.013
Round: 16, Time: 113419ms, Checking Time: 5497ms, Bug: Y , N_Count: 5079 , OK_Count: 5000, Abort Rate: 0.016
Round: 17, Time: 130400ms, Checking Time: 7643ms, Bug: Y , N_Count: 5077 , OK_Count: 5001, Abort Rate: 0.015
Round: 18, Time: 151190ms, Checking Time: 1356ms, Bug: Y , N_Count: 5104 , OK_Count: 5001, Abort Rate: 0.020
Round: 19, Time: 124028ms, Checking Time: 6938ms, Bug: Y , N_Count: 5052 , OK_Count: 5001, Abort Rate: 0.010
Round: 20, Time: 99574ms, Checking Time: 1374ms, Bug: N , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 21, Time: 119237ms, Checking Time: 1381ms, Bug: Y , N_Count: 5067 , OK_Count: 5000, Abort Rate: 0.013
Round: 22, Time: 112459ms, Checking Time: 1577ms, Bug: Y , N_Count: 5058 , OK_Count: 5001, Abort Rate: 0.011
Round: 23, Time: 127748ms, Checking Time: 1623ms, Bug: Y , N_Count: 5080 , OK_Count: 5000, Abort Rate: 0.016
Round: 24, Time: 92321ms, Checking Time: 1441ms, Bug: Y , N_Count: 5059 , OK_Count: 5001, Abort Rate: 0.011
Round: 25, Time: 143810ms, Checking Time: 7811ms, Bug: Y , N_Count: 5099 , OK_Count: 5000, Abort Rate: 0.019
Round: 26, Time: 99298ms, Checking Time: 1816ms, Bug: Y , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 27, Time: 114201ms, Checking Time: 8026ms, Bug: Y , N_Count: 5068 , OK_Count: 5000, Abort Rate: 0.013
Round: 28, Time: 115587ms, Checking Time: 1567ms, Bug: Y , N_Count: 5082 , OK_Count: 5001, Abort Rate: 0.016
Round: 29, Time: 101010ms, Checking Time: 1832ms, Bug: Y , N_Count: 5040 , OK_Count: 5000, Abort Rate: 0.008
Round: 30, Time: 114737ms, Checking Time: 1243ms, Bug: N , N_Count: 5059 , OK_Count: 5001, Abort Rate: 0.011
Round: 31, Time: 98861ms, Checking Time: 1255ms, Bug: Y , N_Count: 5063 , OK_Count: 5001, Abort Rate: 0.012
Round: 32, Time: 128460ms, Checking Time: 1054ms, Bug: Y , N_Count: 5073 , OK_Count: 5000, Abort Rate: 0.014
Round: 33, Time: 119811ms, Checking Time: 1266ms, Bug: Y , N_Count: 5083 , OK_Count: 5000, Abort Rate: 0.016
Round: 34, Time: 126176ms, Checking Time: 1234ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 35, Time: 113150ms, Checking Time: 1323ms, Bug: N , N_Count: 5062 , OK_Count: 5001, Abort Rate: 0.012
Round: 36, Time: 122065ms, Checking Time: 1256ms, Bug: Y , N_Count: 5074 , OK_Count: 5001, Abort Rate: 0.014
Round: 37, Time: 91927ms, Checking Time: 1480ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 38, Time: 140968ms, Checking Time: 6594ms, Bug: Y , N_Count: 5088 , OK_Count: 5001, Abort Rate: 0.017
Round: 39, Time: 115067ms, Checking Time: 1796ms, Bug: N , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 40, Time: 133938ms, Checking Time: 7858ms, Bug: Y , N_Count: 5065 , OK_Count: 5000, Abort Rate: 0.013
Round: 41, Time: 95523ms, Checking Time: 1652ms, Bug: Y , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
