using config file: /home/ubuntu/Mini-Testing-Experiments/data/ser/checker:cobra-vs-us/keys/20231112140643/n8_k500000_t100000_pre/mini-config.yaml
Your Config: 
Config[LIB_TYPE=POSTGRESQL_LIB,CC_TYPE=WAIT_YOUNG_DIE,BENCH_TYPE=MINI,TIMESTAMP_ON=false,COBRA_FD=/tmp/cobra/,COBRA_FD_LOG=/tmp/cobra/log/,BENCHMARK_LOG_PATH=/tmp/cobra/benchmark.log,APPEND_OTHERWISE_RECREATE=false,DEBUG_LIB_FLAG=false,LOG_DEBUG=false,LOG_INFO=false,LOG_ERROR=true,SEED=1699777726,USE_INSTRUMENT=true,LOCAL_LOG=true,LOCAL_REMOTE_LOG=false,CLOUD_LOG=false,SIGN_DATA=false,MAX_FZ_TXN_NUM=20,NUM_TXN_IN_ENTITY=1,KEY_CLIENT_LOG_SUFFIX=_CL,EPOCH_KEY=FZVERSION,EPOCH_CLIENTS_SEP_STR=;,EPOCH_CLIENT_EPOCH_SEP_STR=:,USE_NEW_EPOCH_TXN=false,SKIP_LOADING=false,SKIP_TESTING=false,ENABLE_BARRIER=false,DONT_RECORD_LOADING=true,TXN_NUM=100000,CLIENT_ID=1,THREAD_NUM=8,CLIENT_NUM=1,SLEEP_TIME=1000,RESULT_FILE_NAME=result.txt,LATENCY_FOLDER=/tmp/cobra/latency/,REDIS_ADDRESS=redis://172.31.31.90/0,OP_PER_CHENGTXN=8,VALUE_LENGTH=140,KEY_PRFIX=key,KEY_INDX_START=1,NUM_KEYS=500000,RATIO_INSERT=0,RATIO_READ=20,RATIO_UPDATE=80,RATIO_DELETE=0,RATIO_RMW=0,WAREHOUSE_NUM=1,REPORT_NEWORDER_ONLY=false,RUBIS_USERS_NUM=20000,TWITTER_USERS_NUM=1000,OP_PER_GENERALTXN=4,VERIFIER_PORT=10086,VERIFIER_HOSTNAME=localhost,THROUGHPUT_PER_WAIT=1000,WAIT_BETWEEN_TXNS=0,GC_KEY=COBRA_GC_KEY,SERVER_PORT=8980,SERVER_HOST=ye-cheng.duckdns.org,PG_PASSWORD=postgres,PG_USERNAME=postgres,DB_URL=jdbc:postgresql://localhost:5432/testdb,GOOGLEVALUE=value,ROCKSDB_PATH=/tmp/rocksdb,ISOLATION_LEVEL=1,COCKROACH_PASSWORD=,COCKROACH_USERNAME=,yak=172.24.71.222,boa=172.24.71.208,ye=216.165.70.10,COCKROACH_DB_URLS={172.24.71.222,172.24.71.208,216.165.70.10},COCKROACH_PORTS={26257,26257,26257},COCKROACH_DATABASE_NAME=cobra,YUGABYTE_PASSWORD=,YUGABYTE_USERNAME=,YUGABYTE_DB_URLS={127.0.0.1,127.0.0.2,127.0.0.3},YUGABYTE_PORTS={5433,5433,5433},YUGABYTE_DATABASE_NAME=cobra,NUM_REPLICA=3,NUM_KEY_PERTABLE=2,ROANOMALY_NUM_RO=2,WOROANOMALY_NUM_WORO=2,CRACK_ACTIVE_ABORT_RATE=0]
[INFO] delete file [/tmp/cobra/log/T14.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T13.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T18.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T16.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T18.log]... done?true
[INFO] delete file [/tmp/cobra/log/T16.log]... done?true
[INFO] delete file [/tmp/cobra/log/T17.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T17.log]... done?true
[INFO] delete file [/tmp/cobra/log/T19.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T19.log]... done?true
[INFO] delete file [/tmp/cobra/log/T12.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T15.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T14.log]... done?true
[INFO] delete file [/tmp/cobra/log/T13.log]... done?true
[INFO] delete file [/tmp/cobra/log/T15.log]... done?true
[INFO] delete file [/tmp/cobra/log/T12.log]... done?true
[INFO] delete file [/tmp/cobra/log/T15.error]... done?true
[INFO] delete file [/tmp/cobra/log/T13.error]... done?true
[INFO] delete file [/tmp/cobra/log/T18.error]... done?true
[INFO] Clear done.
waiting for barrier
start benchmark
progress%=0.31% #commit=306 #abort_txn=0 success%=100% tps = 305.69
  #runners = 8
progress%=0.74% #commit=743 #abort_txn=1 success%=99.87% tps = 436.69
  #runners = 8
progress%=1.2% #commit=1194 #abort_txn=1 success%=99.92% tps = 450.55
  #runners = 8
progress%=1.64% #commit=1637 #abort_txn=1 success%=99.94% tps = 443
  #runners = 8
progress%=2.08% #commit=2078 #abort_txn=1 success%=99.95% tps = 440.56
  #runners = 8
progress%=2.59% #commit=2592 #abort_txn=2 success%=99.92% tps = 515
  #runners = 8
progress%=2.97% #commit=2966 #abort_txn=3 success%=99.9% tps = 374.63
  #runners = 8
progress%=3.43% #commit=3425 #abort_txn=3 success%=99.91% tps = 459
  #runners = 8
progress%=3.96% #commit=3952 #abort_txn=3 success%=99.92% tps = 526.47
  #runners = 8
progress%=4.58% #commit=4575 #abort_txn=5 success%=99.89% tps = 625
  #runners = 8
progress%=5.11% #commit=5106 #abort_txn=5 success%=99.9% tps = 530.47
  #runners = 8
progress%=5.61% #commit=5609 #abort_txn=5 success%=99.91% tps = 502.5
  #runners = 8
progress%=6.02% #commit=6012 #abort_txn=5 success%=99.92% tps = 403
  #runners = 8
progress%=6.46% #commit=6451 #abort_txn=5 success%=99.92% tps = 438.56
  #runners = 8
progress%=6.82% #commit=6813 #abort_txn=5 success%=99.93% tps = 362
  #runners = 8
progress%=7.28% #commit=7271 #abort_txn=5 success%=99.93% tps = 457.54
  #runners = 8
progress%=7.72% #commit=7714 #abort_txn=5 success%=99.94% tps = 443
  #runners = 8
progress%=8.18% #commit=8169 #abort_txn=6 success%=99.93% tps = 455.54
  #runners = 8
progress%=8.62% #commit=8613 #abort_txn=6 success%=99.93% tps = 444
  #runners = 8
progress%=9.05% #commit=9041 #abort_txn=6 success%=99.93% tps = 427.57
  #runners = 8
progress%=9.38% #commit=9372 #abort_txn=6 success%=99.94% tps = 331
  #runners = 8
progress%=9.83% #commit=9828 #abort_txn=6 success%=99.94% tps = 455.54
  #runners = 8
progress%=10.33% #commit=10327 #abort_txn=7 success%=99.93% tps = 500
  #runners = 8
progress%=10.75% #commit=10744 #abort_txn=7 success%=99.93% tps = 416.58
  #runners = 8
progress%=11.33% #commit=11326 #abort_txn=7 success%=99.94% tps = 582
  #runners = 8
progress%=11.93% #commit=11919 #abort_txn=7 success%=99.94% tps = 592.41
  #runners = 8
progress%=12.23% #commit=12223 #abort_txn=8 success%=99.93% tps = 304.7
  #runners = 8
progress%=12.65% #commit=12647 #abort_txn=8 success%=99.94% tps = 424
  #runners = 8
progress%=13.27% #commit=13263 #abort_txn=9 success%=99.93% tps = 616.38
  #runners = 8
progress%=13.95% #commit=13939 #abort_txn=9 success%=99.94% tps = 676
  #runners = 8
progress%=14.39% #commit=14377 #abort_txn=9 success%=99.94% tps = 437.56
  #runners = 8
progress%=15.09% #commit=15078 #abort_txn=9 success%=99.94% tps = 701
  #runners = 8
progress%=15.54% #commit=15531 #abort_txn=9 success%=99.94% tps = 453
  #runners = 8
progress%=16.19% #commit=16182 #abort_txn=9 success%=99.94% tps = 650.35
  #runners = 8
progress%=16.8% #commit=16791 #abort_txn=9 success%=99.95% tps = 609
  #runners = 8
progress%=17.56% #commit=17550 #abort_txn=9 success%=99.95% tps = 758.24
  #runners = 8
progress%=18.23% #commit=18219 #abort_txn=9 success%=99.95% tps = 669
  #runners = 8
progress%=18.62% #commit=18612 #abort_txn=9 success%=99.95% tps = 392.61
  #runners = 8
progress%=19.26% #commit=19255 #abort_txn=9 success%=99.95% tps = 643
  #runners = 8
progress%=19.89% #commit=19883 #abort_txn=10 success%=99.95% tps = 628.37
  #runners = 8
progress%=20.45% #commit=20437 #abort_txn=10 success%=99.95% tps = 554
  #runners = 8
progress%=20.71% #commit=20701 #abort_txn=10 success%=99.95% tps = 263.74
  #runners = 8
progress%=21.07% #commit=21063 #abort_txn=10 success%=99.95% tps = 362
  #runners = 8
progress%=21.53% #commit=21520 #abort_txn=10 success%=99.95% tps = 456.54
  #runners = 8
progress%=22.06% #commit=22053 #abort_txn=10 success%=99.95% tps = 533
  #runners = 8
progress%=22.62% #commit=22607 #abort_txn=10 success%=99.96% tps = 553.45
  #runners = 8
progress%=23.13% #commit=23116 #abort_txn=10 success%=99.96% tps = 508.49
  #runners = 8
