using config file: /home/ubuntu/Mini-Testing-Experiments/data/ser/checker:cobra-vs-us/keys/20231112140643/n8_k50000_t100030_r2/mini-config.yaml
Your Config: 
Config[LIB_TYPE=POSTGRESQL_LIB,CC_TYPE=WAIT_YOUNG_DIE,BENCH_TYPE=MINI,TIMESTAMP_ON=false,COBRA_FD=/tmp/cobra/,COBRA_FD_LOG=/tmp/cobra/log/,BENCHMARK_LOG_PATH=/tmp/cobra/benchmark.log,APPEND_OTHERWISE_RECREATE=false,DEBUG_LIB_FLAG=false,LOG_DEBUG=false,LOG_INFO=false,LOG_ERROR=true,SEED=1699775703,USE_INSTRUMENT=true,LOCAL_LOG=true,LOCAL_REMOTE_LOG=false,CLOUD_LOG=false,SIGN_DATA=false,MAX_FZ_TXN_NUM=20,NUM_TXN_IN_ENTITY=1,KEY_CLIENT_LOG_SUFFIX=_CL,EPOCH_KEY=FZVERSION,EPOCH_CLIENTS_SEP_STR=;,EPOCH_CLIENT_EPOCH_SEP_STR=:,USE_NEW_EPOCH_TXN=false,SKIP_LOADING=false,SKIP_TESTING=false,ENABLE_BARRIER=false,DONT_RECORD_LOADING=true,TXN_NUM=100030,CLIENT_ID=1,THREAD_NUM=8,CLIENT_NUM=1,SLEEP_TIME=1000,RESULT_FILE_NAME=result.txt,LATENCY_FOLDER=/tmp/cobra/latency/,REDIS_ADDRESS=redis://172.31.31.90/0,OP_PER_CHENGTXN=8,VALUE_LENGTH=140,KEY_PRFIX=key,KEY_INDX_START=1,NUM_KEYS=50000,RATIO_INSERT=0,RATIO_READ=20,RATIO_UPDATE=80,RATIO_DELETE=0,RATIO_RMW=0,WAREHOUSE_NUM=1,REPORT_NEWORDER_ONLY=false,RUBIS_USERS_NUM=20000,TWITTER_USERS_NUM=1000,OP_PER_GENERALTXN=4,VERIFIER_PORT=10086,VERIFIER_HOSTNAME=localhost,THROUGHPUT_PER_WAIT=1000,WAIT_BETWEEN_TXNS=0,GC_KEY=COBRA_GC_KEY,SERVER_PORT=8980,SERVER_HOST=ye-cheng.duckdns.org,PG_PASSWORD=postgres,PG_USERNAME=postgres,DB_URL=jdbc:postgresql://localhost:5432/testdb,GOOGLEVALUE=value,ROCKSDB_PATH=/tmp/rocksdb,ISOLATION_LEVEL=1,COCKROACH_PASSWORD=,COCKROACH_USERNAME=,yak=172.24.71.222,boa=172.24.71.208,ye=216.165.70.10,COCKROACH_DB_URLS={172.24.71.222,172.24.71.208,216.165.70.10},COCKROACH_PORTS={26257,26257,26257},COCKROACH_DATABASE_NAME=cobra,YUGABYTE_PASSWORD=,YUGABYTE_USERNAME=,YUGABYTE_DB_URLS={127.0.0.1,127.0.0.2,127.0.0.3},YUGABYTE_PORTS={5433,5433,5433},YUGABYTE_DATABASE_NAME=cobra,NUM_REPLICA=3,NUM_KEY_PERTABLE=2,ROANOMALY_NUM_RO=2,WOROANOMALY_NUM_WORO=2,CRACK_ACTIVE_ABORT_RATE=0]
[INFO] delete file [/tmp/cobra/log/T15.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T18.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T19.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T16.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T13.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T12.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T14.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T17.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T15.log]... done?true
[INFO] delete file [/tmp/cobra/log/T19.log]... done?true
[INFO] delete file [/tmp/cobra/log/T14.log]... done?true
[INFO] delete file [/tmp/cobra/log/T12.log]... done?true
[INFO] delete file [/tmp/cobra/log/T13.log]... done?true
[INFO] delete file [/tmp/cobra/log/T16.log]... done?true
[INFO] delete file [/tmp/cobra/log/T18.log]... done?true
[INFO] delete file [/tmp/cobra/log/T17.log]... done?true
[INFO] delete file [/tmp/cobra/log/T16.error]... done?true
[INFO] Clear done.
waiting for barrier
start benchmark
progress%=0.57% #commit=563 #abort_txn=4 success%=99.29% tps = 567
  #runners = 8
progress%=1.18% #commit=1172 #abort_txn=6 success%=99.49% tps = 609.17
  #runners = 8
progress%=1.76% #commit=1759 #abort_txn=6 success%=99.66% tps = 586.41
  #runners = 8
progress%=2.33% #commit=2327 #abort_txn=8 success%=99.66% tps = 569.43
  #runners = 8
progress%=2.99% #commit=2986 #abort_txn=8 success%=99.73% tps = 659
  #runners = 8
progress%=3.58% #commit=3578 #abort_txn=8 success%=99.78% tps = 591.41
  #runners = 8
progress%=4.19% #commit=4186 #abort_txn=8 success%=99.81% tps = 607.39
  #runners = 8
progress%=4.71% #commit=4704 #abort_txn=8 success%=99.83% tps = 518
  #runners = 8
progress%=5.05% #commit=5043 #abort_txn=9 success%=99.82% tps = 339.66
  #runners = 8
progress%=5.47% #commit=5460 #abort_txn=9 success%=99.84% tps = 416.58
  #runners = 8
progress%=6.1% #commit=6091 #abort_txn=10 success%=99.84% tps = 632
  #runners = 8
progress%=6.51% #commit=6501 #abort_txn=10 success%=99.85% tps = 409.59
  #runners = 8
progress%=6.77% #commit=6757 #abort_txn=11 success%=99.84% tps = 256.74
  #runners = 8
progress%=7.4% #commit=7390 #abort_txn=11 success%=99.85% tps = 633
  #runners = 8
progress%=7.97% #commit=7962 #abort_txn=11 success%=99.86% tps = 570.86
  #runners = 8
progress%=8.56% #commit=8555 #abort_txn=12 success%=99.86% tps = 593.41
  #runners = 8
progress%=9% #commit=8991 #abort_txn=12 success%=99.87% tps = 436
  #runners = 8
progress%=9.32% #commit=9312 #abort_txn=12 success%=99.87% tps = 321
  #runners = 8
progress%=9.64% #commit=9628 #abort_txn=12 success%=99.88% tps = 315.68
  #runners = 8
progress%=10.3% #commit=10296 #abort_txn=12 success%=99.88% tps = 668
  #runners = 8
progress%=10.89% #commit=10884 #abort_txn=14 success%=99.87% tps = 589.41
  #runners = 8
progress%=11.59% #commit=11584 #abort_txn=14 success%=99.88% tps = 699.3
  #runners = 8
progress%=12.13% #commit=12120 #abort_txn=14 success%=99.88% tps = 536
  #runners = 8
progress%=12.6% #commit=12586 #abort_txn=14 success%=99.89% tps = 465.53
  #runners = 8
progress%=13.05% #commit=13038 #abort_txn=15 success%=99.89% tps = 453
  #runners = 8
progress%=13.65% #commit=13640 #abort_txn=15 success%=99.89% tps = 601.4
  #runners = 8
progress%=14.08% #commit=14066 #abort_txn=15 success%=99.89% tps = 425.57
  #runners = 8
progress%=14.55% #commit=14542 #abort_txn=15 success%=99.9% tps = 476
  #runners = 8
progress%=14.9% #commit=14887 #abort_txn=15 success%=99.9% tps = 344.66
  #runners = 8
progress%=15.17% #commit=15163 #abort_txn=15 success%=99.9% tps = 276
  #runners = 8
progress%=15.45% #commit=15440 #abort_txn=15 success%=99.9% tps = 276.72
  #runners = 8
progress%=15.81% #commit=15799 #abort_txn=15 success%=99.91% tps = 358.64
  #runners = 8
progress%=16.2% #commit=16189 #abort_txn=15 success%=99.91% tps = 390
  #runners = 8
progress%=16.69% #commit=16679 #abort_txn=15 success%=99.91% tps = 489.51
  #runners = 8
progress%=17.09% #commit=17082 #abort_txn=16 success%=99.91% tps = 403.6
  #runners = 8
progress%=17.79% #commit=17781 #abort_txn=16 success%=99.91% tps = 699
  #runners = 8
progress%=18.46% #commit=18452 #abort_txn=16 success%=99.91% tps = 670.33
  #runners = 8
progress%=19.01% #commit=19001 #abort_txn=16 success%=99.92% tps = 549
  #runners = 8
progress%=19.7% #commit=19690 #abort_txn=16 success%=99.92% tps = 688.31
  #runners = 8
progress%=20.24% #commit=20226 #abort_txn=16 success%=99.92% tps = 536
  #runners = 8
progress%=20.87% #commit=20856 #abort_txn=16 success%=99.92% tps = 629.37
  #runners = 8
progress%=21.61% #commit=21600 #abort_txn=16 success%=99.93% tps = 744
  #runners = 8
progress%=21.86% #commit=21855 #abort_txn=16 success%=99.93% tps = 254.75
  #runners = 8
progress%=22.35% #commit=22342 #abort_txn=16 success%=99.93% tps = 486.51
  #runners = 8
progress%=22.9% #commit=22894 #abort_txn=16 success%=99.93% tps = 551.45
  #runners = 8
