using config file: /home/ubuntu/Mini-Testing-Experiments/data/ser/checker:cobra-vs-us/keys/20231112140643/n8_k50000_t100030_r3/mini-config.yaml
Your Config: 
Config[LIB_TYPE=POSTGRESQL_LIB,CC_TYPE=WAIT_YOUNG_DIE,BENCH_TYPE=MINI,TIMESTAMP_ON=false,COBRA_FD=/tmp/cobra/,COBRA_FD_LOG=/tmp/cobra/log/,BENCHMARK_LOG_PATH=/tmp/cobra/benchmark.log,APPEND_OTHERWISE_RECREATE=false,DEBUG_LIB_FLAG=false,LOG_DEBUG=false,LOG_INFO=false,LOG_ERROR=true,SEED=1699775935,USE_INSTRUMENT=true,LOCAL_LOG=true,LOCAL_REMOTE_LOG=false,CLOUD_LOG=false,SIGN_DATA=false,MAX_FZ_TXN_NUM=20,NUM_TXN_IN_ENTITY=1,KEY_CLIENT_LOG_SUFFIX=_CL,EPOCH_KEY=FZVERSION,EPOCH_CLIENTS_SEP_STR=;,EPOCH_CLIENT_EPOCH_SEP_STR=:,USE_NEW_EPOCH_TXN=false,SKIP_LOADING=false,SKIP_TESTING=false,ENABLE_BARRIER=false,DONT_RECORD_LOADING=true,TXN_NUM=100030,CLIENT_ID=1,THREAD_NUM=8,CLIENT_NUM=1,SLEEP_TIME=1000,RESULT_FILE_NAME=result.txt,LATENCY_FOLDER=/tmp/cobra/latency/,REDIS_ADDRESS=redis://172.31.31.90/0,OP_PER_CHENGTXN=8,VALUE_LENGTH=140,KEY_PRFIX=key,KEY_INDX_START=1,NUM_KEYS=50000,RATIO_INSERT=0,RATIO_READ=20,RATIO_UPDATE=80,RATIO_DELETE=0,RATIO_RMW=0,WAREHOUSE_NUM=1,REPORT_NEWORDER_ONLY=false,RUBIS_USERS_NUM=20000,TWITTER_USERS_NUM=1000,OP_PER_GENERALTXN=4,VERIFIER_PORT=10086,VERIFIER_HOSTNAME=localhost,THROUGHPUT_PER_WAIT=1000,WAIT_BETWEEN_TXNS=0,GC_KEY=COBRA_GC_KEY,SERVER_PORT=8980,SERVER_HOST=ye-cheng.duckdns.org,PG_PASSWORD=postgres,PG_USERNAME=postgres,DB_URL=jdbc:postgresql://localhost:5432/testdb,GOOGLEVALUE=value,ROCKSDB_PATH=/tmp/rocksdb,ISOLATION_LEVEL=1,COCKROACH_PASSWORD=,COCKROACH_USERNAME=,yak=172.24.71.222,boa=172.24.71.208,ye=216.165.70.10,COCKROACH_DB_URLS={172.24.71.222,172.24.71.208,216.165.70.10},COCKROACH_PORTS={26257,26257,26257},COCKROACH_DATABASE_NAME=cobra,YUGABYTE_PASSWORD=,YUGABYTE_USERNAME=,YUGABYTE_DB_URLS={127.0.0.1,127.0.0.2,127.0.0.3},YUGABYTE_PORTS={5433,5433,5433},YUGABYTE_DATABASE_NAME=cobra,NUM_REPLICA=3,NUM_KEY_PERTABLE=2,ROANOMALY_NUM_RO=2,WOROANOMALY_NUM_WORO=2,CRACK_ACTIVE_ABORT_RATE=0]
[INFO] delete file [/tmp/cobra/log/T15.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T12.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T18.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T14.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T17.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T16.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T13.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T19.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T12.log]... done?true
[INFO] delete file [/tmp/cobra/log/T18.log]... done?true
[INFO] delete file [/tmp/cobra/log/T13.log]... done?true
[INFO] delete file [/tmp/cobra/log/T14.log]... done?true
[INFO] delete file [/tmp/cobra/log/T17.log]... done?true
[INFO] delete file [/tmp/cobra/log/T16.log]... done?true
[INFO] delete file [/tmp/cobra/log/T19.log]... done?true
[INFO] delete file [/tmp/cobra/log/T15.log]... done?true
[INFO] delete file [/tmp/cobra/log/T12.error]... done?true
[INFO] Clear done.
waiting for barrier
start benchmark
progress%=0.56% #commit=558 #abort_txn=0 success%=100% tps = 557.44
  #runners = 8
progress%=1.22% #commit=1221 #abort_txn=2 success%=99.84% tps = 663.01
  #runners = 8
progress%=1.57% #commit=1568 #abort_txn=2 success%=99.87% tps = 347
  #runners = 8
progress%=1.62% #commit=1617 #abort_txn=2 success%=99.88% tps = 48.95
  #runners = 8
progress%=2.18% #commit=2175 #abort_txn=2 success%=99.91% tps = 557.44
  #runners = 8
progress%=2.76% #commit=2756 #abort_txn=4 success%=99.86% tps = 583
  #runners = 8
progress%=3.09% #commit=3087 #abort_txn=5 success%=99.84% tps = 331.67
  #runners = 8
progress%=3.67% #commit=3663 #abort_txn=5 success%=99.86% tps = 576
  #runners = 8
progress%=4.2% #commit=4193 #abort_txn=5 success%=99.88% tps = 529.47
  #runners = 8
progress%=4.59% #commit=4590 #abort_txn=5 success%=99.89% tps = 396.6
  #runners = 8
progress%=5.05% #commit=5044 #abort_txn=6 success%=99.88% tps = 455
  #runners = 8
progress%=5.49% #commit=5489 #abort_txn=6 success%=99.89% tps = 444.56
  #runners = 8
progress%=5.96% #commit=5959 #abort_txn=6 success%=99.9% tps = 470
  #runners = 8
progress%=6.54% #commit=6533 #abort_txn=7 success%=99.89% tps = 574.43
  #runners = 8
progress%=7.13% #commit=7121 #abort_txn=8 success%=99.89% tps = 589
  #runners = 8
progress%=7.73% #commit=7728 #abort_txn=8 success%=99.9% tps = 606.39
  #runners = 8
progress%=8.23% #commit=8226 #abort_txn=9 success%=99.89% tps = 499
  #runners = 8
progress%=8.72% #commit=8713 #abort_txn=9 success%=99.9% tps = 486.51
  #runners = 8
progress%=9.2% #commit=9195 #abort_txn=9 success%=99.9% tps = 482
  #runners = 8
progress%=9.7% #commit=9697 #abort_txn=9 success%=99.91% tps = 501.5
  #runners = 8
progress%=10.3% #commit=10297 #abort_txn=9 success%=99.91% tps = 600
  #runners = 8
progress%=10.96% #commit=10952 #abort_txn=9 success%=99.92% tps = 654.35
  #runners = 8
progress%=11.6% #commit=11593 #abort_txn=9 success%=99.92% tps = 641
  #runners = 8
progress%=12.12% #commit=12113 #abort_txn=9 success%=99.93% tps = 519.48
  #runners = 8
progress%=12.5% #commit=12493 #abort_txn=9 success%=99.93% tps = 380
  #runners = 8
progress%=12.8% #commit=12791 #abort_txn=9 success%=99.93% tps = 297.7
  #runners = 8
progress%=13.17% #commit=13163 #abort_txn=9 success%=99.93% tps = 372
  #runners = 8
progress%=13.51% #commit=13509 #abort_txn=9 success%=99.93% tps = 345.65
  #runners = 8
progress%=13.87% #commit=13868 #abort_txn=9 success%=99.94% tps = 358.64
  #runners = 8
progress%=14.44% #commit=14439 #abort_txn=9 success%=99.94% tps = 571
  #runners = 8
progress%=15.09% #commit=15090 #abort_txn=9 success%=99.94% tps = 650.35
  #runners = 8
progress%=15.84% #commit=15832 #abort_txn=9 success%=99.94% tps = 741.26
  #runners = 8
progress%=16.35% #commit=16342 #abort_txn=10 success%=99.94% tps = 511
  #runners = 8
progress%=16.99% #commit=16990 #abort_txn=10 success%=99.94% tps = 647.35
  #runners = 8
progress%=17.56% #commit=17554 #abort_txn=10 success%=99.94% tps = 564
  #runners = 8
progress%=17.82% #commit=17820 #abort_txn=10 success%=99.94% tps = 265.73
  #runners = 8
progress%=18.1% #commit=18091 #abort_txn=11 success%=99.94% tps = 272
  #runners = 8
progress%=18.66% #commit=18654 #abort_txn=11 success%=99.94% tps = 555.77
  #runners = 8
progress%=19.26% #commit=19255 #abort_txn=11 success%=99.94% tps = 592.12
  #runners = 8
progress%=19.92% #commit=19917 #abort_txn=12 success%=99.94% tps = 662.34
  #runners = 8
progress%=20.57% #commit=20567 #abort_txn=12 success%=99.94% tps = 650
  #runners = 8
progress%=21.16% #commit=21153 #abort_txn=12 success%=99.94% tps = 585.41
  #runners = 8
progress%=21.79% #commit=21787 #abort_txn=12 success%=99.94% tps = 634
  #runners = 8
progress%=22.55% #commit=22543 #abort_txn=12 success%=99.95% tps = 755.24
  #runners = 8
progress%=23.09% #commit=23088 #abort_txn=12 success%=99.95% tps = 544.46
  #runners = 8
